ticker,company,category,ai_link,fiscal_end,latest_filed,annual_revenue_usd,annual_operating_cashflow_usd,annual_net_income_usd,revenue_accession,operating_cashflow_accession,net_income_accession,sec_companyfacts_url
AAPL,Apple Inc.,cloud_and_platform,"Cloud compute, model distribution or large-scale AI-enabled consumer and enterprise platforms.",2025-09-27,2025-10-31,416161000000,111482000000,112010000000,0000320193-25-000079,0000320193-25-000079,0000320193-25-000079,https://data.sec.gov/api/xbrl/companyfacts/CIK0000320193.json
ADBE,ADOBE INC.,enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-11-28,2026-01-15,23769000000,10031000000,7130000000,0000796343-26-000003,0000796343-26-000003,0000796343-26-000003,https://data.sec.gov/api/xbrl/companyfacts/CIK0000796343.json
ADI,ANALOG DEVICES INC,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-11-01,2025-11-25,11019707000,4812202000,2267342000,0000006281-25-000153,0000006281-25-000153,0000006281-25-000153,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006281.json
ADSK,"Autodesk, Inc.",enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2026-01-31,2026-03-03,7206000000,2452000000,1124000000,0000769397-26-000015,0000769397-26-000015,0000769397-26-000015,https://data.sec.gov/api/xbrl/companyfacts/CIK0000769397.json
AMAT,APPLIED MATERIALS INC /DE,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-10-26,2025-12-12,28368000000,7958000000,6998000000,0001628280-25-056742,0001628280-25-056742,0001628280-25-056742,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006951.json
AMD,ADVANCED MICRO DEVICES INC,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-12-27,2026-02-04,34639000000,7709000000,4335000000,0000002488-26-000018,0000002488-26-000018,0000002488-26-000018,https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json
AMZN,AMAZON COM INC,cloud_and_platform,"Cloud compute, model distribution or large-scale AI-enabled consumer and enterprise platforms.",2025-12-31,2026-02-06,716924000000,139514000000,77670000000,0001018724-26-000004,0001018724-26-000004,0001018724-26-000004,https://data.sec.gov/api/xbrl/companyfacts/CIK0001018724.json
ANET,"Arista Networks, Inc.",compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-12-31,2026-02-17,9005700000,4371900000,3511400000,0001596532-26-000013,0001596532-26-000013,0001596532-26-000013,https://data.sec.gov/api/xbrl/companyfacts/CIK0001596532.json
APH,AMPHENOL CORP /DE/,compute_and_network_hardware,"Servers, storage, networking, test equipment or optical components for AI infrastructure.",2025-12-31,2026-02-11,23094700000,5374700000,4270300000,0001104659-26-013549,0001104659-26-013549,0001104659-26-013549,https://data.sec.gov/api/xbrl/companyfacts/CIK0000820313.json
APP,AppLovin Corp,enterprise_ai_software,"Enterprise AI applications, data platforms, cybersecurity or chip/system design software.",2025-12-31,2026-02-19,5480717000,3971094000,3333751000,0001751008-26-000010,0001751008-26-000010,0001751008-26-000010,https://data.sec.gov/api/xbrl/companyfacts/CIK0001751008.json
AVGO,Broadcom Inc.,semiconductors_and_equipment,"Processors, memory, analog/power chips, foundry or fabrication equipment used in AI compute supply chains.",2025-11-02,2025-12-18,63887000000,27537000000,23126000000,0001730168-25-000121,0001730168-25-000121,0001730168-25-000121,https://data.sec.gov/api/xbrl/companyfacts/CIK0001730168.json
