ticker,code,name,lot_size,stock_type,stock_child_type,listing_date,last_trade_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,amplitude,turnover_rate,market_val,pe_ratio,pb_ratio,update_time,retrieved_at_utc
AAOI,US.AAOI,Applied Optoelectronics,1,STOCK,N/A,1970-01-01,,102.45,106.29,107.32,101.13,107.0,4025369.0,415909728.254,5.785,4.975,,-160.078,5.215,2026-09-23 14:03:55,2026-09-24T02:03:56+08:00
AGIX,US.AGIX,Kraneshares通用人工智能ETF-AGIX,1,ETF,N/A,2024-07-18,,48.125,48.46,48.61,47.92,48.61,106058.0,5097140.127,1.419,0.437,,nan,nan,2026-09-23 14:02:34,2026-09-24T02:03:56+08:00
AIPO,US.AIPO,Defiance AI & Power Infrastructure ETF,1,ETF,N/A,2025-07-25,,28.9,29.15,29.2041,28.74,29.29,609085.0,17637380.835,1.584,1.893,,nan,nan,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
ALAB,US.ALAB,Astera Labs,1,STOCK,N/A,2024-03-20,,360.81,364.86,367.8698,351.3786,363.46,2048659.0,732552610.6,4.537,1.313,,295.745,36.273,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
AMAT,US.AMAT,应用材料,1,STOCK,N/A,1978-01-06,,472.88,472.46,474.9,461.0,472.46,2435250.0,1141776905.824,2.942,0.308,,54.605,14.644,2026-09-23 14:03:53,2026-09-24T02:03:56+08:00
AMD,US.AMD,美国超微公司,1,STOCK,N/A,1972-09-01,,612.81,622.45,624.6899,608.09,623.77,11011710.0,6766510462.811,2.661,0.687,,231.249,14.881,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
ANET,US.ANET,Arista Networks,1,STOCK,N/A,1970-01-01,,202.49,206.48,206.48,200.75,205.19,1913710.0,388024893.182,2.793,0.182,,73.632,17.258,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
APP,US.APP,Applovin,1,STOCK,N/A,2021-04-15,,311.47,315.8,316.0,304.77,328.73,4861160.0,1507290163.998,3.416,1.901,,31.945,32.952,2026-09-23 14:03:54,2026-09-24T02:03:56+08:00
ARKG,US.ARKG,基因进化ETF-ARK,1,ETF,N/A,1970-01-01,,50.96,52.6,53.0,50.84,52.87,3442191.0,177878551.376,4.085,8.043,,nan,nan,2026-09-23 14:03:52,2026-09-24T02:03:56+08:00
ARM,US.ARM,Arm Holdings,1,STOCK,N/A,2023-09-14,,330.18,331.85,336.9799,324.56,333.2,4885692.0,1610342171.506,3.727,3.423,,388.447,40.858,2026-09-23 14:03:54,2026-09-24T02:03:56+08:00
ASML,US.ASML,阿斯麦,1,STOCK,N/A,1970-01-01,,1734.12,1731.21,1738.55,1704.3,1747.9,824078.0,1419838359.383,1.959,0.215,,61.297,26.656,2026-09-23 14:03:53,2026-09-24T02:03:56+08:00
ASX,US.ASX,日月光半导体,1,STOCK,N/A,2000-10-02,,43.805,44.29,44.83,43.15,45.2,2637890.0,115563325.868,3.717,0.158,,79.356,7.976,2026-09-23 14:03:10,2026-09-24T02:03:56+08:00
AXTI,US.AXTI,AXT Inc,1,STOCK,N/A,1970-01-01,,74.9,78.48,78.7552,74.2953,77.79,3379087.0,256182951.651,5.733,5.365,,-152.857,5.557,2026-09-23 14:03:55,2026-09-24T02:03:56+08:00
BATT,US.BATT,Amplify Lithium & Battery Technology Etf,1,ETF,N/A,1970-01-01,,14.71,14.8,14.82,14.64,15.04,21445.0,315270.076,1.197,0.275,,nan,nan,2026-09-23 13:58:41,2026-09-24T02:03:56+08:00
BBH,US.BBH,生物科技指数ETF-VanEck,1,ETF,N/A,1970-01-01,,239.5611,241.62,243.08,239.37,242.03,11252.0,2709811.412,1.533,0.561,,nan,nan,2026-09-23 13:12:30,2026-09-24T02:03:56+08:00
BE,US.BE,Bloom Energy,1,STOCK,N/A,2018-07-25,,274.58,277.63,282.635,271.025,276.53,5686391.0,1570784624.691,4.198,2.038,,-742.108,50.169,2026-09-23 14:03:55,2026-09-24T02:03:56+08:00
BOTZ,US.BOTZ,Global X Robotics & Artificial Intelligence Thematic ETF,1,ETF,N/A,2016-09-13,,35.29,35.67,35.67,35.145,36.01,318736.0,11278030.235,1.458,0.336,,nan,nan,2026-09-23 14:03:50,2026-09-24T02:03:56+08:00
CAMT,US.CAMT,康特科技,1,STOCK,N/A,1970-01-01,,149.42,149.4,149.66,142.7,151.36,167263.0,24477658.689,4.598,0.575,,143.673,9.819,2026-09-23 13:59:26,2026-09-24T02:03:56+08:00
CBRS,US.CBRS,Cerebras Systems,1,STOCK,N/A,2026-05-14,,205.47,211.25,212.925,203.0,212.41,2370725.0,490646205.099,4.673,7.902,,503.602,5.332,2026-09-23 14:03:56,2026-09-24T02:03:56+08:00
CCI,US.CCI,冠城国际,1,ETF,N/A,1970-01-01,,70.945,71.97,72.47,70.71,72.37,1088418.0,77674249.338,2.432,0.256,,nan,nan,2026-09-23 14:03:38,2026-09-24T02:03:56+08:00
CCJ,US.CCJ,Cameco,1,STOCK,N/A,1970-01-01,,91.67,93.2,93.69,91.52,94.59,1404344.0,129526012.387,2.294,0.323,,95.489,7.871,2026-09-23 14:03:55,2026-09-24T02:03:56+08:00
CIEN,US.CIEN,Ciena,1,STOCK,N/A,1970-01-01,,358.52,368.61,368.72,351.53,368.56,1164956.0,417629894.015,4.664,0.827,,421.788,16.632,2026-09-23 14:03:41,2026-09-24T02:03:56+08:00
CLS,US.CLS,天弘科技,1,STOCK,N/A,1970-01-01,,362.55,359.43,367.8999,354.37,356.09,1436154.0,519938082.859,3.8,1.161,,50.635,18.226,2026-09-23 14:03:49,2026-09-24T02:03:56+08:00
COHR,US.COHR,Coherent,1,STOCK,N/A,1970-01-01,,301.65,312.12,312.2398,298.4792,310.39,3808274.0,1153063854.919,4.433,1.962,,73.293,5.423,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
COPX,US.COPX,铜矿ETF-Global X,1,ETF,N/A,1970-01-01,,86.79,87.53,87.77,86.17,89.98,1458448.0,126515510.592,1.778,1.702,,nan,nan,2026-09-23 14:03:56,2026-09-24T02:03:56+08:00
CRBP,US.CRBP,Corbus Pharmaceuticals,1,STOCK,N/A,1970-01-01,,7.77,7.83,7.98,7.74,7.875,559443.0,4400402.956,3.048,3.69,,-1.316,1.469,2026-09-23 14:03:45,2026-09-24T02:03:56+08:00
CRDO,US.CRDO,Credo Technology,1,STOCK,N/A,2022-01-27,,195.06,191.5,196.15,189.26,192.56,5085409.0,977580052.789,3.578,3.073,,77.735,13.44,2026-09-23 14:03:56,2026-09-24T02:03:56+08:00
CRWD,US.CRWD,CrowdStrike,1,STOCK,N/A,2019-06-12,,260.43,251.66,263.19,248.51,250.06,9121592.0,2353589924.886,5.871,0.933,,-1597.73,52.274,2026-09-23 14:03:50,2026-09-24T02:03:56+08:00
CVX,US.CVX,雪佛龙,1,STOCK,N/A,1970-01-01,,205.8,203.47,207.0,203.48,202.41,4718296.0,970989642.132,1.739,0.251,,31.04,2.141,2026-09-23 14:03:46,2026-09-24T02:03:56+08:00
DELL,US.DELL,戴尔科技,1,STOCK,N/A,2016-09-07,,549.665,559.9,570.72,542.2303,548.92,6158308.0,3417906851.011,5.19,2.109,,63.325,-244.948,2026-09-23 14:03:55,2026-09-24T02:03:56+08:00
DRAM,US.DRAM,Roundhill Memory ETF,1,ETF,N/A,2026-04-02,,61.92,63.2,63.4399,61.54,63.62,17699752.0,1100265666.847,2.986,4.076,,nan,nan,2026-09-23 14:03:57,2026-09-24T02:03:56+08:00
DT,US.DT,Dynatrace,1,STOCK,N/A,2019-08-01,,58.5521,57.7,59.31,57.43,57.2,3090697.0,180998138.855,3.287,1.077,,108.429,6.904,2026-09-23 14:03:43,2026-09-24T02:03:56+08:00
ENTG,US.ENTG,英特格,1,STOCK,N/A,1970-01-01,,151.41,149.77,152.03,147.325,151.11,729521.0,109397050.52,3.114,0.48,,97.683,5.566,2026-09-23 14:03:56,2026-09-24T02:03:56+08:00
EQIX,US.EQIX,易昆尼克斯,1,ETF,N/A,2000-08-11,,1043.375,1057.0,1060.975,1037.81,1059.26,123318.0,128915228.058,2.187,0.125,,nan,nan,2026-09-23 14:02:52,2026-09-24T02:03:56+08:00
ETN,US.ETN,伊顿,1,STOCK,N/A,1970-01-01,,438.54,442.56,443.49,436.095,442.49,778952.0,342138127.881,1.671,0.201,,41.845,8.409,2026-09-23 14:03:49,2026-09-24T02:03:56+08:00
EWH,US.EWH,香港ETF-iShares,1,ETF,N/A,1970-01-01,,22.465,22.51,22.54,22.385,22.84,2132436.0,47868582.86,0.679,4.194,,nan,nan,2026-09-23 14:03:32,2026-09-24T02:03:56+08:00
EWJ,US.EWJ,MSCI日本指数ETF-iShares,1,ETF,N/A,1970-01-01,,97.2,97.97,97.93,96.85,98.78,2427041.0,236082310.07,1.093,1.015,,nan,nan,2026-09-23 14:03:26,2026-09-24T02:03:56+08:00
EWY,US.EWY,MSCI韩国指数ETF-iShares,1,ETF,N/A,1970-01-01,,186.13,188.86,189.17,184.92,192.62,8609644.0,1606891642.603,2.206,5.971,,nan,nan,2026-09-23 14:03:51,2026-09-24T02:03:56+08:00
FCX,US.FCX,麦克莫兰铜金,1,STOCK,N/A,1970-01-01,,72.035,72.93,72.93,71.25,74.35,5237558.0,377296730.899,2.26,0.376,,47.391,5.144,2026-09-23 14:03:55,2026-09-24T02:03:56+08:00
FINX,US.FINX,Global X FinTech Thematic ETF,1,ETF,N/A,2016-09-13,,25.57,25.85,25.85,25.5058,25.995,12401.0,318701.222,1.324,0.193,,nan,nan,2026-09-23 13:23:27,2026-09-24T02:03:56+08:00
